fiscal_year,month_numeric,month,item,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2021-2022,4,April,REVENUE DEFICIT,31945,31945,251571,251571,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,REVENUE DEFICIT,33078,65023,160397,411968,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,REVENUE DEFICIT,105128,170151,165695,577663,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,REVENUE DEFICIT,36712,206863,137295,714958,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,REVENUE DEFICIT,104457,311320,27606,742564,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,REVENUE DEFICIT,4298,315618,20228,762792,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,REVENUE DEFICIT,-2140,313478,9404,772196,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,REVENUE DEFICIT,129209,442687,80294,852490,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,REVENUE DEFICIT,-46496,396191,30103,882593,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,REVENUE DEFICIT,132586,528777,29658,912251,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,REVENUE DEFICIT,338900,867677,130852,1043103,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,REVENUE DEFICIT,165270,1032947,407236,1450339,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,PRIMARY DEFICIT,49028,49028,252816,252816,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,PRIMARY DEFICIT,-14427,34601,135262,388078,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,PRIMARY DEFICIT,55349,89950,113792,501870,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,PRIMARY DEFICIT,5376,95326,120895,622765,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,PRIMARY DEFICIT,94312,189638,9920,632685,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,PRIMARY DEFICIT,-27994,161644,-24344,608341,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,PRIMARY DEFICIT,-15805,145839,11357,619698,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,PRIMARY DEFICIT,88002,233841,72384,692082,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,PRIMARY DEFICIT,-40339,193502,-5784,686298,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,PRIMARY DEFICIT,128290,321792,28109,714407,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,PRIMARY DEFICIT,322852,644644,131657,846064,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,PRIMARY DEFICIT,136503,781147,292358,1138422,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,REVENUE RECEIPTS,196495,196495,147619,147619,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,REVENUE RECEIPTS,160345,356840,202358,349977,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,REVENUE RECEIPTS,211218,568058,190020,539997,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,REVENUE RECEIPTS,187737,755795,129152,669149,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,REVENUE RECEIPTS,61103,816898,124344,793493,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,REVENUE RECEIPTS,352663,1169561,287555,1081048,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,REVENUE RECEIPTS,180321,1349882,178929,1259977,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,REVENUE RECEIPTS,73270,1423152,98313,1358290,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,REVENUE RECEIPTS,346842,1769994,374933,1733223,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,REVENUE RECEIPTS,149655,1919649,105698,1838921,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,REVENUE RECEIPTS,61179,1980828,-47904,1791017,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,REVENUE RECEIPTS,402691,2383519,378889,2169906,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,TAX REVENUE (Net),184557,184557,130811,130811,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,TAX REVENUE (Net),123032,307589,102754,233565,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,TAX REVENUE (Net),198309,505898,179115,412680,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,TAX REVENUE (Net),160314,666212,116509,529189,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,TAX REVENUE (Net),33882,700094,115654,644843,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,TAX REVENUE (Net),311867,1011961,275849,920692,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,TAX REVENUE (Net),159142,1171103,132443,1053135,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,TAX REVENUE (Net),53730,1224833,82129,1135264,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,TAX REVENUE (Net),330859,1555692,338545,1473809,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,TAX REVENUE (Net),133018,1688710,73627,1547436,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,TAX REVENUE (Net),43483,1732193,-66550,1480886,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,TAX REVENUE (Net),365175,2097368,323908,1804794,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,NON-TAX REVENUE,11938,11938,16808,16808,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,NON-TAX REVENUE,37313,49251,99604,116412,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,NON-TAX REVENUE,12909,62160,10905,127317,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,NON-TAX REVENUE,27423,89583,12643,139960,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,NON-TAX REVENUE,27221,116804,8690,148650,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,NON-TAX REVENUE,40796,157600,11706,160356,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,NON-TAX REVENUE,21179,178779,46486,206842,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,NON-TAX REVENUE,19540,198319,16184,223026,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,NON-TAX REVENUE,15983,214302,36388,259414,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,NON-TAX REVENUE,16637,230939,32071,291485,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,NON-TAX REVENUE,17696,248635,18646,310131,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,NON-TAX REVENUE,37516,286151,54981,365112,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,NON-DEBT CAPITAL RECEIPTS,3488,3488,372,372,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,NON-DEBT CAPITAL RECEIPTS,21525,25013,4438,4810,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,NON-DEBT CAPITAL RECEIPTS,2969,27982,2592,7402,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,NON-DEBT CAPITAL RECEIPTS,2137,30119,6746,14148,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,NON-DEBT CAPITAL RECEIPTS,1408,31527,1031,15179,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,NON-DEBT CAPITAL RECEIPTS,2660,34187,2939,18118,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,NON-DEBT CAPITAL RECEIPTS,1505,35692,1604,19722,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,NON-DEBT CAPITAL RECEIPTS,5789,41481,981,20703,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,NON-DEBT CAPITAL RECEIPTS,13625,55106,7766,28469,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,NON-DEBT CAPITAL RECEIPTS,2088,57194,4126,32595,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,NON-DEBT CAPITAL RECEIPTS,1706,58900,3668,36263,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,NON-DEBT CAPITAL RECEIPTS,13287,72187,3112,39375,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(RECOVERY OF LOANS),429,429,372,372,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(RECOVERY OF LOANS),537,966,443,815,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(RECOVERY OF LOANS),2457,3423,2591,3406,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(RECOVERY OF LOANS),2136,5559,2371,5777,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(RECOVERY OF LOANS),1408,6967,1031,6808,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(RECOVERY OF LOANS),2630,9597,2195,9003,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(RECOVERY OF LOANS),1505,11102,1355,10358,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(RECOVERY OF LOANS),1950,13052,981,11339,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(RECOVERY OF LOANS),3383,16435,7766,19105,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(RECOVERY OF LOANS),2088,18523,1422,20527,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(RECOVERY OF LOANS),1706,20229,2222,22749,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(RECOVERY OF LOANS),5923,26152,1988,24737,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,(OTHER RECEIPTS),3059,3059,0,0,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,(OTHER RECEIPTS),20988,24047,3995,3995,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,(OTHER RECEIPTS),512,24559,1,3996,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,(OTHER RECEIPTS),1,24560,4375,8371,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,(OTHER RECEIPTS),0,24560,0,8371,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,(OTHER RECEIPTS),30,24590,744,9115,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,(OTHER RECEIPTS),0,24590,249,9364,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,(OTHER RECEIPTS),3839,28429,0,9364,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,(OTHER RECEIPTS),10242,38671,0,9364,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,(OTHER RECEIPTS),0,38671,2704,12068,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,(OTHER RECEIPTS),0,38671,1446,13514,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,(OTHER RECEIPTS),7364,46035,1124,14638,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,TOTAL RECEIPTS,199983,199983,147991,147991,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,TOTAL RECEIPTS,181870,381853,206796,354787,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,TOTAL RECEIPTS,214187,596040,192612,547399,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,TOTAL RECEIPTS,189874,785914,135898,683297,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,TOTAL RECEIPTS,62511,848425,125375,808672,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,TOTAL RECEIPTS,355323,1203748,290494,1099166,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,TOTAL RECEIPTS,181826,1385574,180533,1279699,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,TOTAL RECEIPTS,79059,1464633,99294,1378993,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,TOTAL RECEIPTS,360467,1825100,382699,1761692,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,TOTAL RECEIPTS,151743,1976843,109824,1871516,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,TOTAL RECEIPTS,62885,2039728,-44236,1827280,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,TOTAL RECEIPTS,415978,2455706,382001,2209281,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,REVENUE EXPENDITURE,195904,195904,179564,179564,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,REVENUE EXPENDITURE,282796,478700,235436,415000,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,REVENUE EXPENDITURE,294147,772847,295148,710148,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,REVENUE EXPENDITURE,145228,918075,165864,876012,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,REVENUE EXPENDITURE,219623,1137698,228801,1104813,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,REVENUE EXPENDITURE,343010,1480708,291853,1396666,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,REVENUE EXPENDITURE,253989,1734697,176789,1573455,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,REVENUE EXPENDITURE,260977,1995674,227522,1800977,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,REVENUE EXPENDITURE,332458,2328132,328437,2129414,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,REVENUE EXPENDITURE,269624,2597756,238284,2367698,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,REVENUE EXPENDITURE,305607,2903363,290996,2658694,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,REVENUE EXPENDITURE,549155,3452518,542978,3201672,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,INTEREST PAYMENTS,41288,41288,29671,29671,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,INTEREST PAYMENTS,64134,105422,58902,88573,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,INTEREST PAYMENTS,123173,228595,95722,184295,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,INTEREST PAYMENTS,55275,283870,41522,225817,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,INTEREST PAYMENTS,54767,338637,52554,278371,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,INTEREST PAYMENTS,98045,436682,86836,365207,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,INTEREST PAYMENTS,44490,481172,35980,401187,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,INTEREST PAYMENTS,64027,545199,60586,461773,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,INTEREST PAYMENTS,135654,680853,104091,565864,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,INTEREST PAYMENTS,57805,738658,50212,616076,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,INTEREST PAYMENTS,60299,798957,55875,671951,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,INTEREST PAYMENTS,129467,928424,133548,805499,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,CAPITAL EXPENDITURE,78925,78925,47126,47126,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,CAPITAL EXPENDITURE,28149,107074,15835,62961,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,CAPITAL EXPENDITURE,67990,175064,48535,111496,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,CAPITAL EXPENDITURE,33606,208670,16932,128428,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,CAPITAL EXPENDITURE,43658,252328,43440,171868,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,CAPITAL EXPENDITURE,90561,342889,57483,229351,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,CAPITAL EXPENDITURE,66125,409014,23919,253270,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,CAPITAL EXPENDITURE,38099,447113,20360,273630,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,CAPITAL EXPENDITURE,42831,489944,118014,391644,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,CAPITAL EXPENDITURE,79948,569892,50042,441686,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,CAPITAL EXPENDITURE,20335,590227,43495,485181,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,CAPITAL EXPENDITURE,146092,736319,106947,592128,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,LOANS DISBURSED,10572,10572,3596,3596,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,LOANS DISBURSED,1707,12279,-950,2646,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,LOANS DISBURSED,1818,14097,3984,6630,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,LOANS DISBURSED,3197,17294,1747,8377,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,LOANS DISBURSED,1878,19172,6211,14588,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,LOANS DISBURSED,4386,23558,4920,19508,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,LOANS DISBURSED,20749,44307,1047,20555,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,LOANS DISBURSED,10334,54641,3817,24372,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,LOANS DISBURSED,13801,68442,8853,33225,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,LOANS DISBURSED,5447,73889,4745,37970,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,LOANS DISBURSED,5142,79031,9129,47099,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,LOANS DISBURSED,36237,115268,11159,58258,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,TOTAL EXPENDITURE,274829,274829,226690,226690,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,TOTAL EXPENDITURE,310945,585774,251271,477961,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,TOTAL EXPENDITURE,362137,947911,343683,821644,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,TOTAL EXPENDITURE,178834,1126745,182796,1004440,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,TOTAL EXPENDITURE,263281,1390026,272241,1276681,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,9,September,TOTAL EXPENDITURE,433571,1823597,349336,1626017,2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,10,October,TOTAL EXPENDITURE,320114,2143711,200708,1826725,2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,11,November,TOTAL EXPENDITURE,299076,2442787,247882,2074607,2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,12,December,TOTAL EXPENDITURE,375289,2818076,446451,2521058,2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,TOTAL EXPENDITURE,349572,3167648,288326,2809384,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
