fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,5,May,Domestic Financing,1505296.98,121417.82,8%,(55%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Market Borrowings,967707.72,189344.76,20%,(49%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Securities against Small Savings,391927.01,-11017.93,-3%,(-3%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,State Provident Funds,20000.00,3132.12,16%,(45%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Special Deposits,0.00,-14.85,,,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,National Small Saving Fund,0.00,70753.27,,,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Savings Deposit and Certificates,245782.84,27510.07,11%,(11%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Public Provident Funds,94521.98,12568.89,13%,(9%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Investment In Securities,-354662.98,15306.63,-4%,(-5%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Income/Expenditure of NSSF,14358.16,15367.68,107%,(-102%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Others,54279.39,-19517.43,-36%,(78%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.88,7%,(-9%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Investment (-) / Redemption (+) of Surplus Cash,,-116252.00,,,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,Ways & Means Advances,,0.00,,,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,5,May,TOTAL FINANCING,1506811.21,123173.94,8%,(59%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2021-2022.aspx
2021-2022,6,June,External Financing,1514.23,-1778.68,-117%,(638%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Domestic Financing,1505296.98,276023.51,18%,(80%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Market Borrowings,967707.72,346991.34,36%,(103%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Securities against Small Savings,391927.01,141379.25,36%,(11%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,State Provident Funds,20000.00,2455.04,12%,(47%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Special Deposits,0.00,-24.78,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,National Small Saving Fund,0.00,-50732.48,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Savings Deposit and Certificates,245782.84,50405.16,21%,(21%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Public Provident Funds,94521.98,15208.34,16%,(12%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Investment In Securities,-354662.98,-137461.77,39%,(12%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Income/Expenditure of NSSF,14358.16,21115.43,147%,(-162%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Others,54279.39,-7413.85,-14%,(-36%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.88,7%,(-9%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Investment (-) / Redemption (+) of Surplus Cash,,-161620.00,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Ways & Means Advances,,0.00,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,TOTAL FINANCING,1506811.21,274244.83,18%,(83%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,7,July,External Financing,1514.23,-742.66,-49%,(847%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Domestic Financing,1505296.98,321885.85,21%,(99%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Market Borrowings,967707.72,356247.48,37%,(144%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Securities against Small Savings,391927.01,137644.24,35%,(16%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,State Provident Funds,20000.00,1299.54,6%,(52%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Special Deposits,0.00,-35.66,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,National Small Saving Fund,0.00,-23003.37,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Savings Deposit and Certificates,245782.84,73166.95,30%,(30%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Public Provident Funds,94521.98,17119.88,18%,(16%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Investment In Securities,-354662.98,-134204.10,38%,(21%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Income/Expenditure of NSSF,14358.16,20913.90,146%,(-254%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Others,54279.39,-16188.92,-30%,(-55%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.54,7%,(-9%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Investment (-) / Redemption (+) of Surplus Cash,,-139067.00,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Ways & Means Advances,,0.00,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,TOTAL FINANCING,1506811.21,321143.19,21%,(103%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,8,August,External Financing,1514.23,-662.88,-44%,(867%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Domestic Financing,1505296.98,468672.08,31%,(105%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Market Borrowings,967707.72,446105.04,46%,(182%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Securities against Small Savings,391927.01,186918.90,48%,(14%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,State Provident Funds,20000.00,704.57,4%,(54%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Special Deposits,0.00,-57.61,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,National Small Saving Fund,0.00,-39398.73,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Savings Deposit and Certificates,245782.84,94276.91,38%,(38%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Public Provident Funds,94521.98,18649.39,20%,(19%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Investment In Securities,-354662.98,-180557.43,51%,(24%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Income/Expenditure of NSSF,14358.16,28232.40,197%,(-320%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Others,54279.39,-3368.90,-6%,(-245%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.81,7%,(-9%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Investment (-) / Redemption (+) of Surplus Cash,,-127221.00,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Ways & Means Advances,,0.00,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,TOTAL FINANCING,1506811.21,468009.20,31%,(109%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,9,September,External Financing,1514.23,3913.62,258%,(830%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Domestic Financing,1505296.98,522937.24,35%,(111%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Market Borrowings,967707.72,478198.72,49%,(207%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Securities against Small Savings,391927.01,214728.58,55%,(21%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,State Provident Funds,20000.00,-54.56,0%,(54%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Special Deposits,0.00,-73.24,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,National Small Saving Fund,0.00,-12496.94,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Savings Deposit and Certificates,245782.84,116623.24,47%,(47%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Public Provident Funds,94521.98,20074.49,21%,(22%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Investment In Securities,-354662.98,-205533.37,58%,(30%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Income/Expenditure of NSSF,14358.16,56338.70,392%,(-528%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Others,54279.39,18567.58,34%,(-239%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.10,7%,(-9%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Investment (-) / Redemption (+) of Surplus Cash,,-180922.00,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Ways & Means Advances,,0.00,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,TOTAL FINANCING,1506811.21,526850.86,35%,(115%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,10,October,External Financing,1514.23,6408.74,423%,(855%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Domestic Financing,1505296.98,540616.95,36%,(115%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Market Borrowings,967707.72,505254.73,52%,(215%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Securities against Small Savings,391927.01,210472.76,54%,(31%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,State Provident Funds,20000.00,-261.62,-1%,(54%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Special Deposits,0.00,-5485.28,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,National Small Saving Fund,0.00,17778.02,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Savings Deposit and Certificates,245782.84,134563.07,55%,(55%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Public Provident Funds,94521.98,21320.89,23%,(24%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Investment In Securities,-354662.98,-200511.22,57%,(38%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Income/Expenditure of NSSF,14358.16,62405.28,435%,(-549%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Others,54279.39,-12348.84,-23%,(358%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.18,7%,(-9%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Investment (-) / Redemption (+) of Surplus Cash,,-179782.00,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Ways & Means Advances,,0.00,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,TOTAL FINANCING,1506811.21,547025.69,36%,(120%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,11,November,External Financing,1514.23,10149.71,670%,(833%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Domestic Financing,1505296.98,685463.86,46%,(131%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Market Borrowings,967707.72,540069.20,56%,(227%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Securities against Small Savings,391927.01,277125.83,71%,(30%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,State Provident Funds,20000.00,-288.88,-1%,(52%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Special Deposits,0.00,-10510.38,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,National Small Saving Fund,0.00,-23175.10,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Savings Deposit and Certificates,245782.84,151379.44,62%,(62%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Public Provident Funds,94521.98,22746.78,24%,(26%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Investment In Securities,-354662.98,-265099.11,75%,(37%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Income/Expenditure of NSSF,14358.16,67797.79,472%,(-562%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Others,54279.39,-2358.45,-4%,(-339%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Cash Balance {Decrease(+)/Increase(-)},71382.86,4989.64,7%,(-9%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Investment (-) / Redemption (+) of Surplus Cash,,-100388.00,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Ways & Means Advances,,0.00,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,TOTAL FINANCING,1506811.21,695613.57,46%,(135%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,12,December,External Financing,1514.23,9799.71,647%,(909%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Domestic Financing,1505296.98,749565.81,50%,(141%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Market Borrowings,967707.72,556199.46,57%,(230%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Securities against Small Savings,391927.01,299550.82,76%,(45%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,State Provident Funds,20000.00,-766.46,-4%,(53%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Special Deposits,0.00,-10527.69,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,National Small Saving Fund,0.00,-15408.23,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Savings Deposit and Certificates,245782.84,172995.20,70%,(72%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Public Provident Funds,94521.98,25097.84,27%,(30%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Investment In Securities,-354662.98,-285588.27,81%,(54%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Income/Expenditure of NSSF,14358.16,72087.00,502%,(-618%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Others,54279.39,15321.37,28%,(-268%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Cash Balance {Decrease(+)/Increase(-)},71382.86,4899.54,7%,(-9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Investment (-) / Redemption (+) of Surplus Cash,,-99703.00,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Ways & Means Advances,,0.00,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,TOTAL FINANCING,1506811.21,759365.52,50%,(145%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2022-2023,1,January,External Financing,23874.31,27339.04,115%,(61%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Domestic Financing,1731445.27,1163465.84,67%,(59%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Market Borrowings,1195865.75,1005710.88,84%,(86%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
