year,month,month_numeric,date_stamp,fx_turnover_purchases_merchant_fcy_inr_spot,fx_turnover_purchases_merchant_fcy_inr_forward,fx_turnover_purchases_merchant_fcy_inr_forward_cancellation,fx_turnover_purchases_merchant_fcy_fcy_spot,fx_turnover_purchases_merchant_fcy_fcy_forward,fx_turnover_purchases_merchant_fcy_fcy_forward_cancellation,fx_turnover_purchases_merchant_total,fx_turnover_purchases_inter_bank_fcy_inr_spot,fx_turnover_purchases_inter_bank_fcy_inr_swap,fx_turnover_purchases_inter_bank_fcy_inr_forward,fx_turnover_purchases_inter_bank_fcy_fcy_spot,fx_turnover_purchases_inter_bank_fcy_fcy_swap,fx_turnover_purchases_inter_bank_fcy_fcy_forward,fx_turnover_purchases_inter_bank_total,fx_turnover_sales_merchant_fcy_inr_spot,fx_turnover_sales_merchant_fcy_inr_forward,fx_turnover_sales_merchant_fcy_inr_forward_cancellation,fx_turnover_sales_merchant_fcy_fcy_spot,fx_turnover_sales_merchant_fcy_fcy_forward,fx_turnover_sales_merchant_fcy_fcy_forward_cancellation,fx_turnover_sales_merchant_total,fx_turnover_sales_inter_bank_fcy_inr_spot,fx_turnover_sales_inter_bank_fcy_inr_swap,fx_turnover_sales_inter_bank_fcy_inr_forward,fx_turnover_sales_inter_bank_fcy_fcy_spot,fx_turnover_sales_inter_bank_fcy_fcy_swap,fx_turnover_sales_inter_bank_fcy_fcy_forward,fx_turnover_sales_inter_bank_total,released_on,updated_on,data_source,data_url
2026,February,2,2026-02-12,4743.668284,607.52465,1070.042129,487.875518,339.002467,222.18678,7470.299828,16025.937441,22992.572424,3494.679503,7630.058692,2424.932562,553.468541,53121.649163,4693.291055,1592.696243,642.715708,495.196071,220.323975,222.220992,7866.444044,15343.638551,22843.4759,3162.64968,7578.226806,2412.09575,553.418129,51893.504816,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-11,4915.036415,1602.068782,1026.075016,781.610511,271.48382,248.378331,8844.652875,18787.245982,24612.7135,2648.152,8970.16202,2465.903256,203.033805,57687.210563,4709.553887,1664.972405,1072.294618,791.438837,272.047132,248.844586,8759.151465,18320.391513,20917.1814,2740.7388,9013.45559800001,2324.376349,202.946294,53519.089954,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-10,5303.250679,1262.894663,1197.805954,845.517256,282.623013,221.391109,9113.482674,20944.389201,29079.060668,4182.700592,8311.035391,2665.332586,480.343075,65662.861513,4732.747085,1979.782689,1009.781781,866.717085,239.325443,221.020962,9049.375045,20964.28749,23881.83421,2694.523096,8351.941844,2683.39598,482.82777,59058.81039,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-09,5364.315378,1524.48889,914.211545,598.416998,274.269328,153.613953,8829.316092,17646.67453,32318.746733,4346.7489,11589.482963,2794.502841,414.751636,69110.907603,5965.621327,2009.522604,587.580157,607.828832,328.270009,153.009315,9651.832244,17107.40063,25034.5734,3353.709219,11649.051699,2832.343547,414.894185,60391.97268,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-06,4449.567494,1553.037325,1446.719184,530.755544,256.796029,168.709857,8405.585433,19265.760292,24405.456253,3140.704011,7791.968746,2301.38613,207.566426,57112.841858,5226.591898,1981.296764,1005.373618,534.026232,203.441634,168.932716,9119.662862,18705.737794,25751.4899,2029.425,7478.701391,2316.691033,207.566142,56489.61126,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-05,6041.556554,1712.606872,1835.926369,529.305438,275.972189,116.30194,10511.669362,23063.377247,33473.1717,3296.3011,8582.967164,2273.615749,916.045286,71605.478246,6202.455107,2723.435437,1548.008022,546.668198,202.997256,116.196638,11339.760658,22711.679521,30992.9722,1379.5515,8459.574766,2319.095218,925.022095,66787.8953,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-04,6680.495376,2792.248837,3786.508664,743.71816,163.921673,133.958403,14300.851113,21411.444074,32802.4464,2671.773374,6895.960573,2427.945491,132.824029,66342.393941,6402.055705,5264.720535,982.86571,741.072337,120.095592,134.017555,13644.827434,21149.143144,38078.6892,1956.417805,6726.920946,2489.388851,132.709355,70533.269301,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-03,7054.275099,2620.001512,2699.294108,422.488408,200.539311,155.927408,13152.525846,24303.495873,33662.403755,5028.0088,7302.207525,2218.115453,183.684743,72697.916149,5802.536114,6236.03695,1740.705518,423.822154,175.010624,156.064275,14534.175635,23515.345496,28357.548058,2847.791155,7261.212322,2254.772761,183.907803,64420.577595,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,February,2,2026-02-02,6226.80271,1887.750082,1303.517053,672.314886,640.494023,296.432223,11027.310977,21993.926088,33927.6814,5771.333786,10484.496928,3186.544488,213.64415,75577.62684,6649.457125,4756.849614,1145.255817,698.566807,600.65597,296.720801,14147.506134,21736.232931,26377.9952,1709.7837,10366.642032,3182.865376,213.948213,63587.467452,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
2026,January,1,2026-01-30,7190.449903,3611.94025,2579.421956,1237.841665,690.344602,572.077805,15882.076181,24342.10949,40420.824337,3314.746177,14044.649443,4196.343154,364.059919,86682.73252,6998.824817,4087.269669,2855.845053,1540.964171,650.446611,572.677621,16706.027942,23236.216344,32859.8235,3223.264719,14087.237419,4175.113767,363.378734,77945.034483,2026-02-27,2026-04-14,RBI Database on Indian Economy,https://data.rbi.org.in/DBIE/#/dbie/reports/Statistics/Financial%20Market/Forex%20Market
