fiscal_year,month_numeric,month,category,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2021-2022,10,October,DOMESTIC FINANCING,17679.71,540616.95,38015.98,913644.92,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,DOMESTIC FINANCING,144846.91,685463.86,123366.80,1037011.72,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,DOMESTIC FINANCING,64101.95,749565.81,79451.72,1116463.44,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,DOMESTIC FINANCING,176162.15,925727.86,67066.81,1183530.25,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,DOMESTIC FINANCING,376647.43,1302375.39,167006.20,1350536.45,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,DOMESTIC FINANCING,247753.95,1550129.34,397574.71,1748111.16,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(MARKET BORROWINGS),51925.12,51925.12,96084.13,96084.13,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(MARKET BORROWINGS),137419.64,189344.76,167799.41,263883.54,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(MARKET BORROWINGS),157646.58,346991.34,286757.03,550640.57,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(MARKET BORROWINGS),9256.14,356247.48,221347.16,771987.73,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(MARKET BORROWINGS),89857.56,446105.04,202401.32,974389.05,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(MARKET BORROWINGS),32093.68,478198.72,136914.86,1111303.91,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(MARKET BORROWINGS),27056.01,505254.73,42495.91,1153799.82,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(MARKET BORROWINGS),34814.47,540069.20,61994.62,1215794.44,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(MARKET BORROWINGS),16130.26,556199.46,16842.94,1232637.38,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(MARKET BORROWINGS),193026.57,749226.03,49455.84,1282093.22,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(MARKET BORROWINGS),127692.25,876918.28,74657.82,1356751.04,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(MARKET BORROWINGS),-66899.40,810018.88,-34736.55,1322014.49,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(SECURITIES AGAINST SMALL SAVINGS),-9175.89,-9175.89,-6276.32,-6276.32,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(SECURITIES AGAINST SMALL SAVINGS),-1842.04,-11017.93,-1182.35,-7458.67,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(SECURITIES AGAINST SMALL SAVINGS),152397.18,141379.25,34569.03,27110.36,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(SECURITIES AGAINST SMALL SAVINGS),-3735.01,137644.24,11303.01,38413.37,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(SECURITIES AGAINST SMALL SAVINGS),49274.66,186918.90,-4193.95,34219.42,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(SECURITIES AGAINST SMALL SAVINGS),27809.68,214728.58,16499.93,50719.35,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(SECURITIES AGAINST SMALL SAVINGS),-4255.82,210472.76,24749.33,75468.68,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(SECURITIES AGAINST SMALL SAVINGS),66653.07,277125.83,-3807.50,71661.18,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(SECURITIES AGAINST SMALL SAVINGS),22424.99,299550.82,36387.98,108049.16,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(SECURITIES AGAINST SMALL SAVINGS),-4260.62,295290.20,-3256.05,104793.11,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(SECURITIES AGAINST SMALL SAVINGS),27280.28,322570.48,43395.74,148188.85,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(SECURITIES AGAINST SMALL SAVINGS),228698.47,551268.95,335543.68,483732.53,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(STATE PROVIDENT FUNDS),3891.96,3891.96,6458.78,6458.78,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(STATE PROVIDENT FUNDS),-759.84,3132.12,1662.66,8121.44,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(STATE PROVIDENT FUNDS),-677.08,2455.04,356.84,8478.28,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(STATE PROVIDENT FUNDS),-1155.50,1299.54,895.36,9373.64,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(STATE PROVIDENT FUNDS),-594.97,704.57,283.10,9656.74,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(STATE PROVIDENT FUNDS),-759.13,-54.56,-7.60,9649.14,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(STATE PROVIDENT FUNDS),-207.06,-261.62,155.09,9804.23,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(STATE PROVIDENT FUNDS),-27.26,-288.88,-504.02,9300.21,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(STATE PROVIDENT FUNDS),-477.58,-766.46,226.81,9527.02,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(STATE PROVIDENT FUNDS),-360.02,-1126.48,-614.89,8912.13,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(STATE PROVIDENT FUNDS),-349.53,-1476.01,-378.31,8533.82,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(STATE PROVIDENT FUNDS),11696.71,10220.70,9979.78,18513.60,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-14.90,-14.90,-56.07,-56.07,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",0.05,-14.85,-65.05,-121.12,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-9.93,-24.78,-266.24,-387.36,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-10.88,-35.66,-4.96,-392.32,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-21.95,-57.61,-140.54,-532.86,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-15.63,-73.24,-31.71,-564.57,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-5412.04,-5485.28,-61.56,-626.13,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-5025.10,-10510.38,-30.90,-657.03,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-17.31,-10527.69,-17.07,-674.10,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-14704.52,-25232.21,-35.62,-709.72,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",30882.06,5649.85,-37.47,-747.19,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,"(SPECIAL DEPOSITS OF NON-GOVT. PROVIDENT FUNDS, INSURANCE CORPORATION ETC.)",-13791.42,-8141.57,3215.65,2468.46,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(NATIONAL SMALL SAVING FUND),40327.86,40327.86,30519.35,30519.35,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(NATIONAL SMALL SAVING FUND),30425.41,70753.27,22571.55,53090.90,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(NATIONAL SMALL SAVING FUND),-121486.11,-50732.84,-18092.65,34998.25,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(NATIONAL SMALL SAVING FUND),27729.47,-23003.37,6125.21,41123.46,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(NATIONAL SMALL SAVING FUND),-16395.36,-39398.73,15681.15,56804.61,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(NATIONAL SMALL SAVING FUND),26901.79,-12496.94,23294.45,80099.06,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(NATIONAL SMALL SAVING FUND),30274.96,17778.02,-3204.34,76894.72,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(NATIONAL SMALL SAVING FUND),-40953.12,-23175.10,21130.38,98025.10,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(NATIONAL SMALL SAVING FUND),7766.87,-15408.23,-18387.76,79637.34,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(NATIONAL SMALL SAVING FUND),39588.75,24180.52,17098.98,96736.32,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(NATIONAL SMALL SAVING FUND),4186.61,28367.13,37857.52,134593.84,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(NATIONAL SMALL SAVING FUND),-144867.37,-116500.24,-15983.96,118609.88,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(SAVINGS DEPOSITS AND CERTIFICATES),14991.37,14991.37,9888.37,9888.37,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(SAVINGS DEPOSITS AND CERTIFICATES),12518.70,27510.07,12784.99,22673.36,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(SAVINGS DEPOSITS AND CERTIFICATES),22895.09,50405.16,20078.23,42751.59,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(SAVINGS DEPOSITS AND CERTIFICATES),22761.79,73166.95,19271.33,62022.92,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(SAVINGS DEPOSITS AND CERTIFICATES),21109.96,94276.91,15795.14,77818.06,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(SAVINGS DEPOSITS AND CERTIFICATES),22346.33,116623.24,19310.93,97128.99,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(SAVINGS DEPOSITS AND CERTIFICATES),17939.83,134563.07,16703.17,113832.16,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(SAVINGS DEPOSITS AND CERTIFICATES),16816.37,151379.44,14692.92,128525.08,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(SAVINGS DEPOSITS AND CERTIFICATES),21615.76,172995.20,20699.00,149224.08,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(SAVINGS DEPOSITS AND CERTIFICATES),18199.92,191195.12,18102.49,167326.57,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(SAVINGS DEPOSITS AND CERTIFICATES),17183.88,208379.00,17914.78,185241.35,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(SAVINGS DEPOSITS AND CERTIFICATES),32030.53,240409.53,30579.70,215821.05,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(PUBLIC PROVIDENT FUNDS),8591.12,8591.12,4820.65,4820.65,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(PUBLIC PROVIDENT FUNDS),3977.77,12568.89,3022.72,7843.37,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(PUBLIC PROVIDENT FUNDS),2639.45,15208.34,3187.87,11031.24,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(PUBLIC PROVIDENT FUNDS),1911.54,17119.88,3397.25,14428.49,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(PUBLIC PROVIDENT FUNDS),1529.51,18649.39,2686.06,17114.55,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(PUBLIC PROVIDENT FUNDS),1425.10,20074.49,2322.93,19437.48,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(PUBLIC PROVIDENT FUNDS),1246.40,21320.89,1993.41,21430.89,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(PUBLIC PROVIDENT FUNDS),1425.89,22746.78,1884.86,23315.75,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(PUBLIC PROVIDENT FUNDS),2351.06,25097.84,3234.69,26550.44,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(PUBLIC PROVIDENT FUNDS),3966.16,29064.00,4406.44,30956.88,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(PUBLIC PROVIDENT FUNDS),3850.84,32914.84,4163.32,35120.20,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(PUBLIC PROVIDENT FUNDS),58770.54,91685.38,54622.46,89742.66,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(INVESTMENT IN SECURITIES),11379.76,11379.76,9747.62,9747.62,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(INVESTMENT IN SECURITIES),3926.87,15306.63,3267.18,13014.80,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(INVESTMENT IN SECURITIES),-152768.40,-137461.77,-46981.19,-33966.39,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(INVESTMENT IN SECURITIES),3257.67,-134204.10,-25108.48,-59074.87,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(INVESTMENT IN SECURITIES),-46353.33,-180557.43,-9047.90,-68122.77,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(INVESTMENT IN SECURITIES),-24975.94,-205533.37,-17725.92,-85848.69,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(INVESTMENT IN SECURITIES),5022.15,-200511.22,-23865.27,-109713.96,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(INVESTMENT IN SECURITIES),-64587.89,-265099.11,3296.57,-106417.39,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(INVESTMENT IN SECURITIES),-20489.16,-285588.27,-47590.77,-154008.16,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(INVESTMENT IN SECURITIES),15700.87,-269887.40,-18783.02,-172791.18,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(INVESTMENT IN SECURITIES),-23954.57,-293841.97,12261.52,-160529.66,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(INVESTMENT IN SECURITIES),-192784.60,-486626.57,-57361.24,-217890.90,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(INCOME / EXPENDITURE OF NSSF),5365.61,5365.61,6062.71,6062.71,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(INCOME / EXPENDITURE OF NSSF),10002.07,15367.68,3496.66,9559.37,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(INCOME / EXPENDITURE OF NSSF),5747.75,21115.43,5622.44,15181.81,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(INCOME / EXPENDITURE OF NSSF),-201.53,20913.90,8565.11,23746.92,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(INCOME / EXPENDITURE OF NSSF),7318.50,28232.40,6247.85,29994.77,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(INCOME / EXPENDITURE OF NSSF),28106.30,56338.70,19386.51,49381.28,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(INCOME / EXPENDITURE OF NSSF),6066.58,62405.28,1964.35,51345.63,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(INCOME / EXPENDITURE OF NSSF),5392.51,67797.79,1256.03,52601.66,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(INCOME / EXPENDITURE OF NSSF),4289.21,72087.00,5269.32,57870.98,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(INCOME / EXPENDITURE OF NSSF),1721.80,73808.80,13373.07,71244.05,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(INCOME / EXPENDITURE OF NSSF),7106.46,80915.26,3517.90,74761.95,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(INCOME / EXPENDITURE OF NSSF),-42883.84,38031.42,-43824.88,30937.07,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(OTHERS),-35539.43,-35539.43,-39711.92,-39711.92,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(OTHERS),16022.00,-19517.43,79269.40,39557.48,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(OTHERS),12103.58,-7413.85,-58034.97,-18477.49,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(OTHERS),-8775.07,-16188.92,-9629.22,-28106.71,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(OTHERS),12820.02,-3368.90,-96684.99,-124791.70,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(OTHERS),21936.48,18567.58,3284.53,-121507.17,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(OTHERS),-30916.42,-12348.84,-60698.35,-182205.52,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(OTHERS),9990.39,-2358.45,10053.81,-172151.71,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(OTHERS),17679.82,15321.37,35750.36,-136401.35,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(OTHERS),5564.12,20885.49,2084.03,-134317.32,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(OTHERS),-970.14,19915.35,41997.73,-92319.59,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(OTHERS),87752.14,107667.49,84280.69,-8038.90,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),19476,-213096,50573,0,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-116252,-348824,50573,0,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-161620,-394192,25597,-24976,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-139067,"-371,639",-55115,-105688,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-127221,-359793,-124460,-175033,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-180922,-413494,-259061,-309634,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-179782,-412354,-224481,-275054,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-100388,-332960,-189950,-240523,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-99703,-332275,-181302,-231875,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,1,January,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),-142485,-375057,-178967,-229540,2022-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),45441,-187131,-209364,-259937,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,(INVESTMENT(-) / REDEMPTION (+) OF SURPLUS CASH),197220,-35352,-181999,-232572,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
