fiscal_year,month_numeric,month,category,sub_category,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,5,May,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,26.24,<1%,(<1%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,814.66,6%,(6%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,3994.70,2%,(<1%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,3994.70,5%,(<1%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,TOTAL,TOTAL,188000.00,4809.36,3%,(<1%),2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Recoveries of Loans and Advances,Gross Recoveries,64375.01,3442.07,5%,(5%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,36.34,<1%,(<1%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,3405.73,26%,(24%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,3996.48,2%,(<1%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,3994.73,5%,(<1%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,1.75,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,TOTAL,TOTAL,188000.00,7402.21,4%,(2%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Recoveries of Loans and Advances,Gross Recoveries,64375.01,5824.15,9%,(8%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,46.98,<1%,(<1%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,5777.17,44%,(36%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,8370.73,5%,(<1%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,8368.96,11%,(<1%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,1.77,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,TOTAL,TOTAL,188000.00,14147.90,8%,(2%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Recoveries of Loans and Advances,Gross Recoveries,64375.01,6863.26,11%,(10%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,55.39,<1%,(<1%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,6807.87,52%,(44%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,8370.79,5%,(<1%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,8369.02,11%,(<1%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,1.77,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,TOTAL,TOTAL,188000.00,15178.66,8%,(3%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Recoveries of Loans and Advances,Gross Recoveries,64375.01,9066.45,14%,(13%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,63.89,<1%,(<1%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,9002.56,69%,(59%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,9115.46,5%,(3%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,9113.69,12%,(5%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,1.77,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,TOTAL,TOTAL,188000.00,18118.02,10%,(7%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Recoveries of Loans and Advances,Gross Recoveries,64375.01,10431.00,16%,(16%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,72.89,<1%,(<1%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,10358.11,80%,(68%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,9363.78,5%,(3%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,9333.06,12%,(5%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,30.72,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,TOTAL,TOTAL,188000.00,19721.89,10%,(7%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Recoveries of Loans and Advances,Gross Recoveries,64375.01,11420.92,18%,(18%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,81.85,<1%,(<1%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,11339.07,87%,(80%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,9364.42,5%,(3%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,9333.06,12%,(5%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,31.36,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,TOTAL,TOTAL,188000.00,20703.49,11%,(8%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Recoveries of Loans and Advances,Gross Recoveries,64375.01,19196.58,30%,(22%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Recoveries of Loans and Advances,Less Short Term Loans and Advances,51375.01,91.83,<1%,(<1%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,13000.00,19104.75,147%,(95%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,175000.00,9364.44,5%,(9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,75000.00,9333.05,12%,(12%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt. State in PSBs and FIs,100000.00,0.00,0%,0%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Miscellaneous Capital Receipts,(iii) Proceeds of monetization of National Highways,0.00,0.00,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Miscellaneous Capital Receipts,(iv) Other Receipts,0.00,31.39,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,TOTAL,TOTAL,188000.00,28469.19,15%,(15%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Recoveries of Loans and Advances,Gross Recoveries,33750.01,28622.39,85%,(63%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10250.02,10099.43,99%,(1%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23499.99,18522.96,79%,(93%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,60000.00,38670.99,64%,(15%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,50000.00,31122.65,62%,(15%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,7518.10,75%,,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Miscellaneous Capital Receipts,(iv) Other Receipts,0.00,30.24,,,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,TOTAL,TOTAL,83499.99,57193.95,68%,(33%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Recoveries of Loans and Advances,Gross Recoveries,33750.01,30337.04,90%,(70%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10250.02,10108.52,99%,(1%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23499.99,20228.52,86%,(104%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,60000.00,38671.00,64%,(17%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,50000.00,31122.65,62%,(11%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,7518.10,75%,,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Miscellaneous Capital Receipts,(iv) Other Receipts,0.00,30.25,,,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,TOTAL,TOTAL,83499.99,58899.52,71%,(36%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Recoveries of Loans and Advances,Gross Recoveries,33750.01,36263.10,107%,(77%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10250.02,10111.45,99%,(2%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,23499.99,26151.65,111%,(113%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,60000.00,46034.89,77%,(19%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings,50000.00,35342.54,71%,(11%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Miscellaneous Capital Receipts,(ii) Proceeds of monetization of National Highways,10000.00,10662.10,107%,,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Miscellaneous Capital Receipts,(iv) Other Receipts,0.00,30.25,,,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,TOTAL,TOTAL,83499.99,72186.54,86%,(39%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Recoveries of Loans and Advances,Gross Recoveries,24666.02,445.26,2%,(1%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,16.40,<1%,(<1%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,428.86,3%,(3%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,3058.79,5%,(<1%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,65000.00,3058.79,5%,(0%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.00,,,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,TOTAL,TOTAL,79291.00,3487.65,4%,(<1%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Recoveries of Loans and Advances,Gross Recoveries,24666.02,992.87,4%,(1%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,26.80,<1%,(<1%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,966.07,7%,(6%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,24046.42,37%,(2%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,65000.00,24046.41,37%,(5%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.01,,,2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,5,May,TOTAL,TOTAL,79291.00,25012.49,32%,(3%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Recoveries of Loans and Advances,Gross Recoveries,24666.02,3457.92,14%,(5%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,34.94,<1%,(<1%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,3422.98,24%,(26%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,24559.18,38%,(2%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,65000.00,24559.17,38%,(5%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.01,,,2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,6,June,TOTAL,TOTAL,79291.00,27982.16,35%,(4%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Recoveries of Loans and Advances,Gross Recoveries,24666.02,5601.94,23%,(9%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,42.99,<1%,(<1%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,5558.95,39%,(44%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Miscellaneous Capital Receipts,Miscellaneous Capital Receipts,65000.00,24559.94,38%,(5%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Miscellaneous Capital Receipts,(i) Disinvestment of Govt.'s Equity Holdings including PSBs and FIs,65000.00,24559.93,38%,(11%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Miscellaneous Capital Receipts,(ii) Disinvestment of Govt.'s Stake in PSBs and Fls,0.00,0.00,,(0%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,Miscellaneous Capital Receipts,(iii) Other Receipts,0.00,0.01,,,2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,7,July,TOTAL,TOTAL,79291.00,30118.89,38%,(8%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Recoveries of Loans and Advances,Recoveries of Loans and Advances,,,,,2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Recoveries of Loans and Advances,Gross Recoveries,24666.02,7034.17,29%,(11%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Recoveries of Loans and Advances,Less Short Term Loans and Advances,10375.02,66.93,1%,(<1%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,8,August,Recoveries of Loans and Advances,Net Recoveries of Loans & Advances,14291.00,6967.24,49%,(52%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
