fiscal_year,month_numeric,month,item,current_month_value,current_year_to_date_val,prev_month_value,prev_year_to_date_val,released_on,updated_on,data_source,data_url
2025-2026,5,May,ASSIGNMENT TO STATES*,81736,163471,69876,139751,2025-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,6,June,ASSIGNMENT TO STATES*,163470,326941,139751,279502,2025-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,7,July,ASSIGNMENT TO STATES*,101603,428544,87128,366630,2025-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,8,August,ASSIGNMENT TO STATES*,101604,530148,89087,455717,2025-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,9,September,ASSIGNMENT TO STATES*,101603,631751,89086,544803,2025-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,10,October,ASSIGNMENT TO STATES*,203206,834957,178173,722976,2025-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,11,November,ASSIGNMENT TO STATES*,101604,936561,89087,812063,2025-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,12,December,ASSIGNMENT TO STATES*,101603,1038164,89087,901150,2026-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,1,January,ASSIGNMENT TO STATES*,101603,1139767,173029,1074179,2026-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,2,February,ASSIGNMENT TO STATES*,126602,1266369,106353,1180532,2026-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2025-2026,3,March,ASSIGNMENT TO STATES*,,,106353,1286885,2026-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
