fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,2,February,Capital Expenditure,438389,405268,92.4%,(87.5%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,of which Loans disbursed,106916,133516,1 24.9%,(93.0%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Total Expenditure (8+10),3450305,2818643,81.7%,(91.4%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Fiscal Deficit (12-7),1848655,1405547,76.0 %,(135.2%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Revenue Deficit (8-1),1456763,1043103,71.6 %,(156.5%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,2,February,Primary Deficit (13-9),1155755,846064,73.2%,(369.3%),2021-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2020-2021.aspx
2020-2021,3,March,Revenue Receipts,1555153,1632094,104.9%,(91.0%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Tax Revenue (Net),1344501,1424035,105.9%,(90.2%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Non-Tax Revenue,210652,208059,98.8%,(94.7%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Non-Debt Capital Receipts,46497,57626,123.9 %,(84.1%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Recovery of Loans,14497,19729,136.1 %,(110.3%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Other Receipts,32000,37897,118.4%,(77.4%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Total Receipts (1+4),1601650,1689720,105.5 %,(90.7%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Revenue Expenditure,3011916,3086360,102.5%,(100.0%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,of which Interest Payments,692900,682079,98.4%,(97.9%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Capital Expenditure,438389,424821,96.9%,(96.4%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,of which Loans disbursed,106916,110256,1 03.1%,(88.6%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Total Expenditure (8+10),3450305,3511181,101.8%,(99.6%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Fiscal Deficit (12-7),1848655,1821461,98.5 %,(121.8%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Revenue Deficit (8-1),1456763,1454266,99.8 %,(133.4%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,3,March,Primary Deficit (13-9),1155755,1139382,98.6%,(227.3%),2021-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2020-2021.aspx
2020-2021,4,April,Revenue Receipts,2020926,27183,1.3%,(4.8%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Tax Revenue (Net),1635909,21412,1.3%,(4.3%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Non-Tax Revenue,385017,5771,1.5%,(7.4%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Non-Debt Capital Receipts,224967,365,0.2%,(2.3%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Recovery of Loans,14967,365,2.4%,(2.4%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Other Receipts,210000,0,0.0%,(2.2%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Total Receipts (1+4),2245893,27548,1 .2%,(4.7%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Revenue Expenditure,2630221,278754,10.6%,(9.2%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,of which Interest Payments,708203,26696,3.8%,(3.0%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Capital Expenditure,412009,28306,6.9%,(9.0%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,of which Loans disbursed,31763,1108,3.5%,(15.5%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Total Expenditure (8+10),3042230,307060,10.1%,(9.1%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Fiscal Deficit (12-7),796337,279512,35.1%,(22.3%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Revenue Deficit (8-1),609295,251571,41.3 %,(26.6%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,4,April,Primary Deficit (13-9),88134,252816,286.9%,(317.6%),2020-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2020-2021.aspx
2020-2021,5,May,Revenue Receipts,2020926,44667,2.2%,(7.3%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Tax Revenue (Net),1635909,33850,2.1%,(7.0%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Non-Tax Revenue,385017,10817,2.8%,(9.1%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Non-Debt Capital Receipts,224967,831,0.4%,(2.6%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Recovery of Loans,14967,831,5.6%,(4.8%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Other Receipts,210000,0,0.0%,(2.2%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Total Receipts (1+4),2245893,45498,2.0%,(7.1%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Revenue Expenditure,2630221,456635,17.4%,(19.0%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,of which Interest Payments,708203,78265,11.1%,(11.3%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Capital Expenditure,412009,55206,13.4%,(14.1%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,of which Loans disbursed,31763,11616,36.6%,(13.6%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Total Expenditure (8+10),3042230,511841,16.8%,(18.4%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Fiscal Deficit (12-7),796337,466343,58.6 %,(52.0%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Revenue Deficit (8-1),609295,411968,67.6 %,(66.2%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Primary Deficit (13-9),88134,388078,440.3%,(673.0%),2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,6,June,Revenue Receipts,2020926,150008,7.4%,(14.5%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Tax Revenue (Net),1635909,134822,8.2%,(15.2%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Non-Tax Revenue,385017,15186,3.9%,(10.7%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Non-Debt Capital Receipts,224967,3573,1.6%,(4.0%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Recovery of Loans,14967,3573,23.9%,(16.2%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Other Receipts,210000,0,0.0%,(2.2%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Total Receipts (1+4),2245893,153581,6.8%,(13.9%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Revenue Expenditure,2630221,727671,27.7%,(26.9%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,of which Interest Payments,708203,160493,22.7%,(21.5%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Capital Expenditure,412009,88273,21.4%,(18.6%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,of which Loans disbursed,31763,13946,43.9%,(21.7%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Total Expenditure (8+10),3042230,815944,26.8%,(25.9%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Fiscal Deficit (12-7),796337,662363,83.2 %,(61.4%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Revenue Deficit (8-1),609295,577663,94.8 %,(77.0%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Primary Deficit (13-9),88134,501870,569.4%,(670.6%),2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,7,July,Revenue Receipts,2020926,227402,11.3%,(19.5%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Tax Revenue (Net),1635909,202788,12.4%,(20.5%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Non-Tax Revenue,385017,24614,6.4%,(14.0%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Non-Debt Capital Receipts,224967,5458,2.4%,(14.2%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Recovery of Loans,14967,5455,36.4%,(31.7%),2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
