fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,6,June,Capital Expenditure,554108,111496,20.1%,(21.4%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,of which Loans disbursed,40374,6630,16.4%,(43.9%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Total Expenditure (8+10),3483236,821644,23.6%,(26.8%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Fiscal Deficit (12-7),1506812,274245,18.2%,(83.2%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Revenue Deficit (8-1),1140704,170151,14.9%,(94.8%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,6,June,Primary Deficit (13-9),697111,89950,12.9%,(569.4%),2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2021-2022.aspx
2021-2022,7,July,Revenue Receipts,1788424,669149,37.4%,(11.3%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Tax Revenue (Net),1545396,529189,34.2%,(12.4%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Non-Tax Revenue,243028,139960,57.6%,(6.4%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Non-Debt Capital Receipts,188000,14148,7.5%,(2.4%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Recovery of Loans,13000,5777,44.4%,(36.4%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Other Receipts,175000,8371,4.8%,(0.0%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Total Receipts (1+4),1976424,683297,34.6%,(10.4%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Revenue Expenditure,2929128,876012,29.9%,(35.8%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,of which Interest Payments,809701,225817,27.9%,(28.0%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Capital Expenditure,554108,128428,23.2%,(27.1%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,of which Loans disbursed,40374,8377,20.7%,(47.0%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Total Expenditure (8+10),3483236,1004440,28.8%,(34.7%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Fiscal Deficit (12-7),1506812,321143,21.3%,(103.1%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Revenue Deficit (8-1),1140704,206863,18.1%,(117.3%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,7,July,Primary Deficit (13-9),697111,95326,13.7%,(706.6%),2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2021-2022.aspx
2021-2022,8,August,Revenue Receipts,1788424,793493,44.4%,(18.3%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Tax Revenue (Net),1545396,644843,41.7%,(17.4%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Non-Tax Revenue,243028,148650,61.2%,(22.4%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Non-Debt Capital Receipts,188000,15179,8.1%,(3.0%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Recovery of Loans,13000,6808,52.4%,(44.3%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Other Receipts,175000,8371,4.8%,(0.0%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Total Receipts (1+4),1976424,808672,40.9%,(16.8%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Revenue Expenditure,2929128,1104813,37.7%,(42.3%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,of which Interest Payments,809701,278371,34.4%,(33.6%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Capital Expenditure,554108,171868,31.0%,(32.6%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,of which Loans disbursed,40374,14588,36.1%,(47.8%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Total Expenditure (8+10),3483236,1276681,36.7%,(41.0%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Fiscal Deficit (12-7),1506812,468009,31.1%,(109.3%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Revenue Deficit (8-1),1140704,311320,27.3%,(121.9%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,8,August,Primary Deficit (13-9),697111,189638,27.2%,(717.9%),2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2021-2022.aspx
2021-2022,9,September,Revenue Receipts,1788424,1081048,60.4%,(27.3%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Tax Revenue (Net),1545396,920692,59.6%,(28.0%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Non-Tax Revenue,243028,160356,66.0%,(24.0%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Non-Debt Capital Receipts,188000,18118,9.6%,(6.5%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Recovery of Loans,13000,9003,69.3%,(59.2%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Other Receipts,175000,9115,5.2%,(2.8%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Total Receipts (1+4),1976424,1099166,55.6%,(25.2%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Revenue Expenditure,2929128,1396666,47.7%,(49.9%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,of which Interest Payments,809701,365207,45.1%,(43.2%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Capital Expenditure,554108,229351,41.4%,(40.3%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,of which Loans disbursed,40374,19508,48.3%,(55.5%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Total Expenditure (8+10),3483236,1626017,46.7%,(48.6%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Fiscal Deficit (12-7),1506812,526851,35.0%,(114.8%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Revenue Deficit (8-1),1140704,315618,27.7%,(125.2%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,9,September,Primary Deficit (13-9),697111,161644,23.2%,(690.2%),2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2021-2022.aspx
2021-2022,10,October,Revenue Receipts,1788424,1259977,70.5%,(34.2%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Tax Revenue (Net),1545396,1053135,68.1%,(35.2%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Non-Tax Revenue,243028,206842,85.1%,(30.2%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Non-Debt Capital Receipts,188000,19722,10.5%,(7.3%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Recovery of Loans,13000,10358,79.7%,(68.3%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Other Receipts,175000,9364,5.4%,(2.9%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Total Receipts (1+4),1976424,1279699,64.7%,(31.5%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Revenue Expenditure,2929128,1573455,53.7%,(55.7%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,of which Interest Payments,809701,401187,49.5%,(47.1%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Capital Expenditure,554108,253270,45.7%,(47.9%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,of which Loans disbursed,40374,20555,50.9 %,(80.7%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Total Expenditure (8+10),3483236,1826725,52.4%,(54.6%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Fiscal Deficit (12-7),1506812,547026,36.3%,(119.7%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Revenue Deficit (8-1),1140704,313478,27.5%,(126.7%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,10,October,Primary Deficit (13-9),697111,145839,20.9%,(703.1%),2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2021-2022.aspx
2021-2022,11,November,Revenue Receipts,1788424,1358920,75.9%,(40.2%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Tax Revenue (Net),1545396,1135264,73.5%,(42.1%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Non-Tax Revenue,243028,223026,91.8%,(32.3%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Non-Debt Capital Receipts,188000,20703,11.0%,(8.1%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Recovery of Loans,13000,11339,87.2%,(79.9%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Other Receipts,175000,9364,5.4%,(2.9%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Total Receipts (1+4),1976424,1378993,69.8%,(37.0%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Revenue Expenditure,2929128,1800977,61.5%,(63.3%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,of which Interest Payments,809701,461773,57.0%,(54.1%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Capital Expenditure,554108,273630,49.4%,(58.5%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,of which Loans disbursed,40374,24372,60.4%,(149.6%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Total Expenditure (8+10),3483236,2074607,59.6%,(62.7%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Fiscal Deficit (12-7),1506812,695614,46.2%,(135.1%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Revenue Deficit (8-1),1140704,442687,38.8%,(139.9%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,11,November,Primary Deficit (13-9),697111,233841,33.5%,(785.3%),2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2021-2022.aspx
2021-2022,12,December,Revenue Receipts,1788424,1733223,96.9%,(53.9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Tax Revenue (Net),1545396,1473809,95.4%,(58.8%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Non-Tax Revenue,243028,259414,106.7%,(32.8%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Non-Debt Capital Receipts,188000,28469,15.1%,(14.7%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Recovery of Loans,13000,19105,147.0%,(94.9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Other Receipts,175000,9364,5.4%,(9.0%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Total Receipts (1+4),1976424,1761692,89.1%,(49.9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Revenue Expenditure,2929128,2129414,72.7%,(74.9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,of which Interest Payments,809701,565864,69.9%,(66.7%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Capital Expenditure,554108,391644,70.7%,(75.0%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,of which Loans disbursed,40374,33225,82.3%,(265.5%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Total Expenditure (8+10),3483236,2521058,72.4%,(74.9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Fiscal Deficit (12-7),1506812,759366,50.4%,(145.5%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Revenue Deficit (8-1),1140704,396191,34.7%,(144.9%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Primary Deficit (13-9),697111,193502,27.8%,(778.7%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2022-2023,1,January,Revenue Receipts,2348413,1919649,81.7%,(88.5%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Tax Revenue (Net),2086662,1688710,80.9%,(87.7%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Non-Tax Revenue,261751,230939,88.2%,(92.9%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Non-Debt Capital Receipts,83500,57194,68.5%,(32.6%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Recovery of Loans,23500,18523,78.8%,(93.4%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Other Receipts,60000,38671,64.5%,(15.5%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Total Receipts (1+4),2431913,1976843,81.3%,(85.9%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Revenue Expenditure,3459464,2597756,75.1 %,(74.7%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,of which Interest Payments,940651,738658,7 8.5%,(75.7%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Capital Expenditure,727768,569892,78.3%,(73.4%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,of which Loans disbursed,108070,73889,68.4%,(68.7%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Total Expenditure (8+10),4187232,3167648,75.7%,(74.5%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Fiscal Deficit (12-7),1755319,1190805,67.8%,(58.9%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Revenue Deficit (8-1),1111051,678107,61.0 %,(48.6%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Primary Deficit (13-9),814668,452147,55.5%,(41.4%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,2,February,Revenue Receipts,2348413,1980828,84.3%,(86.2%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Tax Revenue (Net),2086662,1732193,83.0%,(83.9%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Non-Tax Revenue,261751,248635,95.0%,(98.8%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Non-Debt Capital Receipts,83500,58900,70.5%,(36.3%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Recovery of Loans,23500,20229,86.1%,(103.5%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Other Receipts,60000,38671,64.5%,(17.3%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Total Receipts (1+4),2431913,2039728,83.9%,(83.9%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Revenue Expenditure,3459464,2903363,83.9%,(83.9%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,of which Interest Payments,940651,798957,84.9%,(82.6%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Capital Expenditure,727768,590227,81.1%,(80.6%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,of which Loans disbursed,108070,79031,73.1%,(85.2%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Total Expenditure (8+10),4187232,3493590,83.4%,(83.4%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Fiscal Deficit (12-7),1755319,1453862,82.8%,(82.7%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Revenue Deficit (8-1),1111051,922535,83.0%,(79.7%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Primary Deficit (13-9),814668,654905,80.4%,(82.9%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,3,March,Revenue Receipts,2348413,2383519,101.5%,(104.4%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
2022-2023,3,March,Tax Revenue (Net),2086662,2097368,100.5%,(102.2%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
