fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2020-2021,5,May,Petroleum,40915.21,8341.14,14222.00,20 %,(38)%,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,5,May,Total Major Subsidies,227793.89,67469.08,115059.00,30 %,(38)%,2020-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2020-2021.aspx
2020-2021,6,June,Food Subsidy,115569.68,41047.53,94406.16,36%,(51)%,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Nutrient Based Fertilizers Subsidy,23504.00,7798.95,9606.18,33 %,(36)%,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Urea Subsidy,47805.00,17714.55,19482.99,37%,(36)%,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Petroleum,40915.21,12403.23,28328.91,30 %,(76)%,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,6,June,Total Major Subsidies,227793.89,78964.26,151824.24,35%,(50)%,2020-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2020-2021.aspx
2020-2021,7,July,Food Subsidy,115569.68,57047.53,108523.49,49%,(59)%,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Nutrient Based Fertilizers Subsidy,23504.00,9400.10,11183.02,40 %,(42)%,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Urea Subsidy,47805.00,21728.86,21568.59,45%,(40)%,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Petroleum,40915.21,16461.08,28385.08,40 %,(76)%,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,7,July,Total Major Subsidies,227793.89,104637.57,169660.18,46%,(56)%,2020-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2020-2021.aspx
2020-2021,8,August,Food Subsidy,115569.68,71078.32,113725.63,62%,(62%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Nutrient Based Fertilizers Subsidy,23504.00,10501.59,14723.16,45%,(56%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Urea Subsidy,47805.00,32579.89,32692.84,68%,(61%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Petroleum,40915.21,16540.36,28385.08,40%,(76%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,8,August,Total Major Subsidies,227793.89,130700.16,189526.71,57%,(63%),2020-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2020-2021.aspx
2020-2021,9,September,Food Subsidy,115569.68,83074.91,124243.33,72%,(67%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
2020-2021,9,September,Nutrient Based Fertilizers Subsidy,23504.00,11576.91,18289.30,49%,(69%),2020-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2020-2021.aspx
