fiscal_year,month_numeric,month,item,revised_estimates_rs,provisional_actuals_rs,coppy_rs,perc_actuals_to_revised_estimates_current,perc_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,12,December,Nutrient Based Fertilizers Subsidy,20762.00,35533.12,17954.72,171%,(76%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Urea Subsidy,58767.68,48698.73,55559.68,83%,(116%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Petroleum,14073.35,1373.80,28535.73,10%,(70%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2021-2022,12,December,Total Major Subsidies,336439.03,271374.37,227352.18,81%,(100%),2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2021-2022.aspx
2022-2023,1,January,Food Subsidy,287194.05,191232.03,209873.72,67%,(73%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Nutrient Based Fertilizers Subsidy,71122.23,65117.09,43671.63,92%,(68%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Urea Subsidy,154097.93,141488.42,72749.41,92%,(96%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Petroleum,9170.50,1562.00,1407.97,1 7%,(22%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,1,January,Total Major Subsidies,521584.71,399399.54,327702.73,77%,(76%),2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2022-2023.aspx
2022-2023,2,February,Food Subsidy,287194.05,224386.14,253088.51,78%,(88%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Nutrient Based Fertilizers Subsidy,71122.23,72599.41,47289.77,102%,(74%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Urea Subsidy,154097.93,160868.22,80352.02,104%,(106%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Petroleum,9170.50,1693.57,1430.80,18%,(22%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,2,February,Total Major Subsidies,521584.71,459547.34,382161.10,88%,(88%),2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2022-2023.aspx
2022-2023,3,March,Food Subsidy,287194.05,272802.38,288968.54,95%,(101%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
2022-2023,3,March,Nutrient Based Fertilizers Subsidy,71122.23,86122.23,52769.97,121%,(82%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
2022-2023,3,March,Urea Subsidy,154097.93,165217.12,100988.14,107%,(133%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
2022-2023,3,March,Petroleum,9170.50,6817.38,3420.63,74%,(52%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
2022-2023,3,March,Total Major Subsidies,521584.71,530959.11,446147.28,102%,(103%),2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2022-2023.aspx
2022-2023,4,April,Food Subsidy,206831.09,5001.46,36008.97,2%,(15%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2022-2023.aspx
2022-2023,4,April,Nutrient Based Fertilizers Subsidy,42000.00,629.57,578.94,1%,(3%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2022-2023.aspx
2022-2023,4,April,Urea Subsidy,63222.32,4519.97,780.87,7%,(1%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2022-2023.aspx
2022-2023,4,April,Petroleum,5812.50,0.00,0.00,0%,(0%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2022-2023.aspx
2022-2023,4,April,Total Major Subsidies,317865.91,10151.00,37368.78,3%,(11%),2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2022-2023.aspx
2022-2023,5,May,Food Subsidy,206831.09,25030.32,55797.11,12%,(23%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2022-2023.aspx
2022-2023,5,May,Nutrient Based Fertilizers Subsidy,42000.00,764.05,1973.72,2 %,(10%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2022-2023.aspx
2022-2023,5,May,Urea Subsidy,63222.32,10014.47,4829.28,16%,(8%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2022-2023.aspx
2022-2023,5,May,Petroleum,5812.50,0.00,63.46,0%,(0%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2022-2023.aspx
2022-2023,5,May,Total Major Subsidies,317865.91,35808.84,62663.57,11%,(19%),2022-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2022-2023.aspx
2022-2023,6,June,Food Subsidy,206831.09,42634.66,82191.25,21%,(34%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2022-2023.aspx
2022-2023,6,June,Nutrient Based Fertilizers Subsidy,42000.00,885.54,5306.00,2 %,(26%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2022-2023.aspx
2022-2023,6,June,Urea Subsidy,63222.32,24459.44,11413.51,39%,(19%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2022-2023.aspx
2022-2023,6,June,Petroleum,5812.50,0.00,1179.49,0%,(8%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2022-2023.aspx
2022-2023,6,June,Total Major Subsidies,317865.91,67979.64,100090.25,21%,(30%),2022-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2022-2023.aspx
2022-2023,7,July,Food Subsidy,206831.09,64287.78,92204.09,31%,(38%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2022-2023.aspx
2022-2023,7,July,Nutrient Based Fertilizers Subsidy,42000.00,11599.05,8911.99,28 %,(43%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2022-2023.aspx
2022-2023,7,July,Urea Subsidy,63222.32,33680.71,17720.17,53 %,(30%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2022-2023.aspx
2022-2023,7,July,Petroleum,5812.50,139.45,1232.76,2 %,(9%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2022-2023.aspx
2022-2023,7,July,Total Major Subsidies,317865.91,109706.99,120069.01,35%,(36%),2022-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2022-2023.aspx
2022-2023,8,August,Food Subsidy,206831.09,75168.17,106878.80,36%,(44%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2022-2023.aspx
2022-2023,8,August,Nutrient Based Fertilizers Subsidy,42000.00,13659.32,13516.99,33%,(65%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2022-2023.aspx
2022-2023,8,August,Urea Subsidy,63222.32,47309.96,25768.87,75%,(44%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2022-2023.aspx
2022-2023,8,August,Petroleum,5812.50,314.74,1233.14,5%,(9%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2022-2023.aspx
2022-2023,8,August,Total Major Subsidies,317865.91,136452.19,147397.80,43%,(44%),2022-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2022-2023.aspx
2022-2023,9,September,Food Subsidy,206831.09,116209.54,131251.25,56%,(54%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2022-2023.aspx
2022-2023,9,September,Nutrient Based Fertilizers Subsidy,42000.00,27006.56,16853.35,64 %,(81%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2022-2023.aspx
2022-2023,9,September,Urea Subsidy,63222.32,54718.78,31584.15,87 %,(54%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2022-2023.aspx
2022-2023,9,September,Petroleum,5812.50,944.35,1269.75,16 %,(9%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2022-2023.aspx
2022-2023,9,September,Total Major Subsidies,317865.91,198879.23,180958.50,63%,(54%),2022-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2022-2023.aspx
2022-2023,10,October,Food Subsidy,206831.09,135079.75,155166.39,65%,(64%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2022-2023.aspx
2022-2023,10,October,Nutrient Based Fertilizers Subsidy,42000.00,41391.99,18218.47,99%,(88%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2022-2023.aspx
2022-2023,10,October,Urea Subsidy,63222.32,61329.45,35258.59,97 %,(60%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2022-2023.aspx
2022-2023,10,October,Petroleum,5812.50,1107.84,1272.31,19 %,(9%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2022-2023.aspx
2022-2023,10,October,Total Major Subsidies,317865.91,238909.03,209915.76,75%,(62%),2022-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2022-2023.aspx
2022-2023,11,November,Food Subsidy,206831.09,147829.32,164197.52,71%,(68%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2022-2023.aspx
2022-2023,11,November,Nutrient Based Fertilizers Subsidy,42000.00,54258.79,24218.38,12 9%,(117%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2022-2023.aspx
2022-2023,11,November,Urea Subsidy,63222.32,97616.25,40849.17,154%,(70%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2022-2023.aspx
2022-2023,11,November,Petroleum,5812.50,1379.13,1341.54,24%,(10%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2022-2023.aspx
2022-2023,11,November,Total Major Subsidies,317865.91,301083.49,230606.61,95%,(69%),2022-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2022-2023.aspx
2022-2023,12,December,Food Subsidy,206831.09,168124.00,185768.72,81%,(76%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Nutrient Based Fertilizers Subsidy,42000.00,59137.23,35533.12,1 41%,(171%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Urea Subsidy,63222.32,121700.40,48698.73,192%,(83%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Petroleum,5812.50,1562.00,1373.80,27%,(10%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2022-2023,12,December,Total Major Subsidies,317865.91,350523.63,271374.37,110%,(81%),2023-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2022-2023.aspx
2023-2024,1,January,Food Subsidy,212332.00,148139.70,191232.03,70%,(67%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Nutrient Based Fertilizers Subsidy,60300.00,59561.42,65117.09,99%,(92%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Urea Subsidy,128593.80,105987.42,141488.42,82%,(92%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Petroleum,12240.00,1870.22,1562.00,15 %,(17%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,1,January,Total Major Subsidies,413465.80,315558.76,399399.54,76%,(77%),2024-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/1/2023-2024.aspx
2023-2024,2,February,Food Subsidy,212332.00,178406.87,224386.14,84%,(78%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Nutrient Based Fertilizers Subsidy,60300.00,60054.07,72599.41,100%,(102%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Urea Subsidy,128593.80,114473.04,160868.22,89%,(104%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Petroleum,12240.00,8063.03,1693.57,66%,(18%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,2,February,Total Major Subsidies,413465.80,360997.01,459547.34,87%,(88%),2024-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/2/2023-2024.aspx
2023-2024,3,March,Food Subsidy,212332.00,211814.39,272802.38,100%,(95%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Nutrient Based Fertilizers Subsidy,60300.00,65199.58,86122.23,108%,(121%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Urea Subsidy,128593.80,124287.86,165217.12,97 %,(107%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Petroleum,12240.00,12240.00,6817.38,100%,(74%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,3,March,Total Major Subsidies,413465.80,413541.83,530959.11,100 %,(102%),2024-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/3/2023-2024.aspx
2023-2024,4,April,Food Subsidy,197350.00,10000.01,5001.46,5%,(2%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Nutrient Based Fertilizers Subsidy,44000.00,9362.82,629.57,21%,(1%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Urea Subsidy,131099.92,5797.90,4519.97,4%,(7%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Petroleum,2257.09,0.00,0.00,0%,(0%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,4,April,Total Major Subsidies,374707.01,25160.73,10151.00,7%,(3%),2023-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/4/2023-2024.aspx
2023-2024,5,May,Food Subsidy,197350.00,30805.22,25030.32,16%,(12%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Nutrient Based Fertilizers Subsidy,44000.00,9473.06,764.05,22%,(2%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Urea Subsidy,131099.92,15038.04,10014.47,11 %,(16%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Petroleum,2257.09,0.00,0.00,0%,(0%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,5,May,Total Major Subsidies,374707.01,55316.32,35808.84,15%,(11%),2023-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/5/2023-2024.aspx
2023-2024,6,June,Food Subsidy,197350.00,41534.00,42634.66,21 %,(21%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Nutrient Based Fertilizers Subsidy,44000.00,16035.28,885.54,36%,(2%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Urea Subsidy,131099.92,29077.25,24459.44,22%,(39%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Petroleum,2257.09,388.61,0.00,17%,(0%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,6,June,Total Major Subsidies,374707.01,87035.14,67979.64,23%,(21%),2023-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/6/2023-2024.aspx
2023-2024,7,July,Food Subsidy,197350.00,68494.25,64287.78,35%,(31%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Nutrient Based Fertilizers Subsidy,44000.00,24561.46,11599.05,5 6%,(28%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Urea Subsidy,131099.92,47473.88,33680.71,36 %,(53%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Petroleum,2257.09,466.26,139.45,21 %,(2%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,7,July,Total Major Subsidies,374707.01,140995.85,109706.99,38%,(35%),2023-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/7/2023-2024.aspx
2023-2024,8,August,Food Subsidy,197350.00,82921.95,75168.17,42%,(36%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Nutrient Based Fertilizers Subsidy,44000.00,34110.69,13659.32,78%,(33%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Urea Subsidy,131099.92,62969.32,47309.96,48%,(75%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Petroleum,2257.09,736.72,314.74,33%,(5%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,8,August,Total Major Subsidies,374707.01,180738.68,136452.19,48 %,(43%),2023-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/8/2023-2024.aspx
2023-2024,9,September,Food Subsidy,197350.00,95149.44,116209.54,48%,(56%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2023-2024.aspx
2023-2024,9,September,Nutrient Based Fertilizers Subsidy,44000.00,42200.69,27006.56,96 %,(64%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2023-2024.aspx
2023-2024,9,September,Urea Subsidy,131099.92,67926.23,54718.78,52 %,(87%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2023-2024.aspx
2023-2024,9,September,Petroleum,2257.09,1119.17,944.35,50%,(16%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2023-2024.aspx
2023-2024,9,September,Total Major Subsidies,374707.01,206395.53,198879.23,55 %,(63%),2023-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/9/2023-2024.aspx
2023-2024,10,October,Food Subsidy,197350.00,110871.82,135079.75,56%,(65%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2023-2024.aspx
2023-2024,10,October,Nutrient Based Fertilizers Subsidy,44000.00,43315.26,41391.99,98 %,(99%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2023-2024.aspx
2023-2024,10,October,Urea Subsidy,131099.92,76387.51,61329.45,58 %,(97%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2023-2024.aspx
2023-2024,10,October,Petroleum,2257.09,1119.17,1107.84,50%,(19%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2023-2024.aspx
2023-2024,10,October,Total Major Subsidies,374707.01,231693.76,238909.03,62%,(75%),2023-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/10/2023-2024.aspx
2023-2024,11,November,Food Subsidy,197350.00,114391.63,147829.32,58%,(71%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2023-2024.aspx
2023-2024,11,November,Nutrient Based Fertilizers Subsidy,44000.00,44004.20,54258.79,100%,(129%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2023-2024.aspx
2023-2024,11,November,Urea Subsidy,131099.92,83240.55,97616.25,63%,(154%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2023-2024.aspx
2023-2024,11,November,Petroleum,2257.09,1119.17,1379.13,50%,(24%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2023-2024.aspx
2023-2024,11,November,Total Major Subsidies,374707.01,242755.55,301083.49,65%,(95%),2023-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/11/2023-2024.aspx
2023-2024,12,December,Food Subsidy,197350.00,134256.29,168124.00,68%,(81%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2023-2024.aspx
2023-2024,12,December,Nutrient Based Fertilizers Subsidy,44000.00,44004.20,59137.23,100%,(141%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2023-2024.aspx
2023-2024,12,December,Urea Subsidy,131099.92,96834.85,121700.40,74 %,(192%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2023-2024.aspx
2023-2024,12,December,Petroleum,2257.09,1709.00,1562.00,76%,(27%),2024-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/MonthlyReport/Published/12/2023-2024.aspx
