fiscal_year,month_numeric,month,description,re,provisional_value,per_of_actuals_to_revised_estimates_current,per_of_actuals_to_revised_estimates_coppy,released_on,updated_on,data_source,data_url
2021-2022,2,February,Other Non-Tax Revenue General Services (Net),16084.32,24851.06,155%,(79)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Other Non-Tax Revenue Social Services,3375.31,4152.49,123%,(110)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Other Non-Tax Revenue Economic Services (Net),121025.48,111206.96,92%,(52)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Other Non-Tax Revenue Grants-in-Aid and Contributions,1344.84,1298.80,97%,(76)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Total Other Non-Tax Revenue,143013.67,141592.22,99%,(58)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,2,February,Net Non-Tax Revenue,313791.31,310131.36,99%,(73)%,2022-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,A. Interest Receipts,20894.00,22111.14,106%,(122)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,B. Dividends and Profits,147353.00,160654.18,109%,(100)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,C. Non-Tax Revenue of U.T.s,2530.64,1724.31,68%,(76)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,D. Other Non-Tax Revenue,,,,,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Other Non-Tax Revenue Fiscal Services (Net),1183.72,193.26,16%,(198)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Other Non-Tax Revenue General Services (Net),16084.32,23180.46,144%,(87)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Other Non-Tax Revenue Social Services,3375.31,4761.13,141%,(121)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Other Non-Tax Revenue Economic Services (Net),121025.48,134113.51,111%,(93)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Other Non-Tax Revenue Grants-in-Aid and Contributions,1344.84,1305.96,97%,(123)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Total Other Non-Tax Revenue,143013.67,163554.32,114%,(94)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,3,March,Net Non-Tax Revenue,313791.31,348043.95,111%,(99)%,2022-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,A. Interest Receipts,11541.17,7008.77,61%,(3)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,B. Dividends and Profits,103538.42,236.46,<1%,(<1)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,C. Non-Tax Revenue of U.T.s,2530.64,131.97,5%,(2)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,D. Other Non-Tax Revenue,,,,,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Other Non-Tax Revenue Fiscal Services (Net),701.90,3.83,1%,(<1)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Other Non-Tax Revenue General Services (Net),20723.87,1959.88,9%,(9)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Other Non-Tax Revenue Social Services,2881.08,1001.02,35%,(21)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Other Non-Tax Revenue Economic Services (Net),100363.82,6442.98,6%,(1)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,22.84,3%,(5)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Total Other Non-Tax Revenue,125417.67,9430.55,8%,(3)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,4,April,Net Non-Tax Revenue,243027.90,16807.75,7%,(1)%,2021-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,A. Interest Receipts,11541.17,2759.42,24%,(6)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,B. Dividends and Profits,103538.42,99628.33,96%,(1)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,C. Non-Tax Revenue of U.T.s,2530.64,222.59,9%,(4)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,D. Other Non-Tax Revenue,,,,,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Other Non-Tax Revenue Fiscal Services (Net),701.90,9.60,1%,(3)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Other Non-Tax Revenue General Services (Net),20723.87,3093.52,15%,(12)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Other Non-Tax Revenue Social Services,2881.08,1169.65,41%,(33)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Other Non-Tax Revenue Economic Services (Net),100363.82,9379.88,9%,(2)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,149.45,20%,(33)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Total Other Non-Tax Revenue,125417.67,13802.10,11%,(4)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,5,May,Net Non-Tax Revenue,243027.90,116412.44,48%,(3)%,2021-06-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,A. Interest Receipts,11541.17,4668.93,40%,(15)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,B. Dividends and Profits,103538.42,101710.63,98%,(2)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,C. Non-Tax Revenue of U.T.s,2530.64,336.17,13%,(8)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,D. Other Non-Tax Revenue,,,,,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Other Non-Tax Revenue Fiscal Services (Net),701.90,16.74,2%,(3)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Other Non-Tax Revenue General Services (Net),20723.87,4172.84,20%,(16)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Other Non-Tax Revenue Social Services,2881.08,1296.87,45%,(37)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Other Non-Tax Revenue Economic Services (Net),100363.82,14935.57,15%,(3)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,178.58,24%,(33)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Total Other Non-Tax Revenue,125417.67,20600.60,16%,(5)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,6,June,Net Non-Tax Revenue,243027.90,127316.33,52%,(4)%,2021-07-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,A. Interest Receipts,11541.17,6550.41,57%,(26)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,B. Dividends and Profits,103538.42,101726.37,98%,(2)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,C. Non-Tax Revenue of U.T.s,2530.64,488.82,19%,(16)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,D. Other Non-Tax Revenue,,,,,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Other Non-Tax Revenue Fiscal Services (Net),701.90,24.92,4%,(4)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Other Non-Tax Revenue General Services (Net),20723.87,5189.26,25%,(20)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Other Non-Tax Revenue Social Services,2881.08,1616.03,56%,(42)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Other Non-Tax Revenue Economic Services (Net),100363.82,24176.63,24%,(7)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,188.16,25%,(34)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Total Other Non-Tax Revenue,125417.67,31195.00,25%,(9)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,7,July,Net Non-Tax Revenue,243027.90,139960.60,58%,(6)%,2021-08-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,A. Interest Receipts,11541.17,8407.41,73%,(37)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,B. Dividends and Profits,103538.42,101941.76,98%,(38)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,C. Non-Tax Revenue of U.T.s,2530.64,622.70,25%,(24)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,D. Other Non-Tax Revenue,,,,,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Other Non-Tax Revenue Fiscal Services (Net),701.90,35.15,5%,(5)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Other Non-Tax Revenue General Services (Net),20723.87,6768.35,33%,(25)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Other Non-Tax Revenue Social Services,2881.08,1968.29,68%,(46)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Other Non-Tax Revenue Economic Services (Net),100363.82,28595.88,28%,(8)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,310.40,42%,(34)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Total Other Non-Tax Revenue,125417.67,37678.07,30%,(10)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,8,August,Net Non-Tax Revenue,243027.90,148649.94,61%,(22)%,2021-09-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,A. Interest Receipts,11541.17,10310.22,89%,(52)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,B. Dividends and Profits,103538.42,105920.31,102%,(39)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,C. Non-Tax Revenue of U.T.s,2530.64,768.62,30%,(29)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,D. Other Non-Tax Revenue,,,,,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Other Non-Tax Revenue Fiscal Services (Net),701.90,43.93,6%,(5)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Other Non-Tax Revenue General Services (Net),20723.87,8277.80,40%,(31)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Other Non-Tax Revenue Social Services,2881.08,2144.26,74%,(50)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Other Non-Tax Revenue Economic Services (Net),100363.82,32570.34,32%,(9)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,320.87,43%,(34)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Total Other Non-Tax Revenue,125417.67,43357.20,35%,(12)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,9,September,Net Non-Tax Revenue,243027.90,160356.35,66%,(24)%,2021-10-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,A. Interest Receipts,11541.17,12425.10,108%,(74)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,B. Dividends and Profits,103538.42,117822.58,114%,(43)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,C. Non-Tax Revenue of U.T.s,2530.64,1053.67,42%,(37)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,D. Other Non-Tax Revenue,,,,,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Other Non-Tax Revenue Fiscal Services (Net),701.90,45.40,6%,(5)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Other Non-Tax Revenue General Services (Net),20723.87,20461.42,99%,(35)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Other Non-Tax Revenue Social Services,2881.08,2464.06,86%,(55)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Other Non-Tax Revenue Economic Services (Net),100363.82,52242.26,52%,(15)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,327.90,44%,(124)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Total Other Non-Tax Revenue,125417.67,75541.06,60%,(19)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,10,October,Net Non-Tax Revenue,243027.90,206842.41,85%,(30)%,2021-11-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,A. Interest Receipts,11541.17,13957.26,121%,(87)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,B. Dividends and Profits,103538.42,127909.39,124%,(45)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,C. Non-Tax Revenue of U.T.s,2530.64,1278.32,51%,(42)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,D. Other Non-Tax Revenue,,,,,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Other Non-Tax Revenue Fiscal Services (Net),701.90,51.68,7%,(7)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Other Non-Tax Revenue General Services (Net),20723.87,22215.85,107%,(39)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Other Non-Tax Revenue Social Services,2881.08,2681.94,93%,(58)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Other Non-Tax Revenue Economic Services (Net),100363.82,54596.58,54%,(16)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,334.77,45%,(126)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Total Other Non-Tax Revenue,125417.67,79880.82,64%,(20)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,11,November,Net Non-Tax Revenue,243027.90,223025.79,92%,(32)%,2021-12-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,A. Interest Receipts,11541.17,16054.96,139%,(102)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,B. Dividends and Profits,103538.42,137068.24,132%,(46)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,C. Non-Tax Revenue of U.T.s,2530.64,1445.91,57%,(49)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,D. Other Non-Tax Revenue,,,,,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Other Non-Tax Revenue Fiscal Services (Net),701.90,57.66,8%,(8)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Other Non-Tax Revenue General Services (Net),20723.87,25836.85,125%,(47)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Other Non-Tax Revenue Social Services,2881.08,2985.00,104%,(64)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Other Non-Tax Revenue Economic Services (Net),100363.82,74761.48,74%,(15)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Other Non-Tax Revenue Grants-in-Aid and Contributions,747.00,1203.84,161%,(131)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Total Other Non-Tax Revenue,125417.67,104844.83,84%,(20)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2021-2022,12,December,Net Non-Tax Revenue,243027.90,259413.94,107%,(33)%,2022-01-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,A. Interest Receipts,24639.56,20356.93,83%,(87)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,B. Dividends and Profits,83953.33,77303.23,92%,(96)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,C. Non-Tax Revenue of U.T.s,2235.72,2028.63,91%,(63)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,D. Other Non-Tax Revenue,,,,,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Other Non-Tax Revenue Fiscal Services (Net),1308.83,356.86,27%,(6)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Other Non-Tax Revenue General Services (Net),23213.51,20374.95,88%,(107)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Other Non-Tax Revenue Social Services,4018.56,3524.55,88%,(100)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Other Non-Tax Revenue Economic Services (Net),119801.67,106061.40,89%,(89)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Other Non-Tax Revenue Grants-in-Aid and Contributions,2579.82,933.00,36%,(90)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Total Other Non-Tax Revenue,150922.39,131250.76,87%,(91)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,1,January,Net Non-Tax Revenue,261751.00,230939.55,88%,(93)%,2023-02-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,A. Interest Receipts,24639.56,23139.42,94%,(97)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,B. Dividends and Profits,83953.33,84219.78,100%,(99)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,C. Non-Tax Revenue of U.T.s,2235.72,2192.49,98%,(70)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,D. Other Non-Tax Revenue,,,,,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Other Non-Tax Revenue Fiscal Services (Net),1308.83,648.92,50%,(7)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Other Non-Tax Revenue General Services (Net),23213.51,22269.76,96%,(155)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Other Non-Tax Revenue Social Services,4018.56,4959.45,123%,(123)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Other Non-Tax Revenue Economic Services (Net),119801.67,110269.66,92%,(92)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Other Non-Tax Revenue Grants-in-Aid and Contributions,2579.82,936.03,36%,(97)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Total Other Non-Tax Revenue,150922.39,139083.82,92%,(99)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,2,February,Net Non-Tax Revenue,261751.00,248635.51,95%,(99)%,2023-03-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,A. Interest Receipts,24639.56,27872.30,113%,(105)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,B. Dividends and Profits,83953.33,99881.95,119%,(109)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,C. Non-Tax Revenue of U.T.s,2235.72,2176.36,97%,(68)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,D. Other Non-Tax Revenue,,,,,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Other Non-Tax Revenue Fiscal Services (Net),1308.83,1127.65,86%,(16)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Other Non-Tax Revenue General Services (Net),23213.51,24349.09,105%,(247)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Other Non-Tax Revenue Social Services,4018.56,6887.68,171%,(141)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Other Non-Tax Revenue Economic Services (Net),119801.67,121969.26,102%,(111)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Other Non-Tax Revenue Grants-in-Aid and Contributions,2579.82,1887.11,73%,(97)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Total Other Non-Tax Revenue,150922.39,156220.79,104%,(126)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,3,March,Net Non-Tax Revenue,261751.00,286151.40,109%,(116)%,2023-04-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,A. Interest Receipts,18000.00,629.99,3%,(61)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
2022-2023,4,April,B. Dividends and Profits,113948.00,299.63,<1%,(<1)%,2022-05-15,2026-04-13,CONTROLLER GENERAL OF ACCOUNTS,https://cga.nic.in/
